magnitude_app,temperature_K,spectral_class,radius_solar,metallicity_Fe_H
8.79,3609,M,0.25,0.088
11.12,3978,K,1.48,-0.42
8.68,5376,G,1.79,-0.549
7.47,4535,K,1.95,0.457
5.41,3440,M,0.53,0.262
7.8,4089,K,0.38,-0.001
5.34,3633,M,0.81,-0.506
7.38,5157,G,1.3,-0.115
7.87,3488,M,0.62,0.112
3.28,5542,G,0.45,-0.115
10.78,5505,G,1.44,0.39
5.52,3705,M,0.84,0.157
7.63,3491,M,1.37,-0.231
9.07,5618,G,1.01,-0.399
10.62,3490,M,0.92,0.219
6.42,3607,M,0.97,0.21
2.98,5883,G,0.84,0.189
10.16,8558,A,0.8,0.421
5.5,3637,M,0.58,0.114
8.72,6973,F,1.27,0.023
8.84,3738,M,1.87,0.191
1.5,3433,M,0.78,0.309
4.77,3681,M,2.54,0.172
7.08,3544,M,1.21,0.008
2.83,3696,M,1.14,0.242
5.32,6685,F,1.39,0.024
8.25,3548,M,1.63,-0.122
7.82,3576,M,0.8,0.03
8.61,5570,G,1.32,-0.08
8.9,3552,M,1.69,-0.021
4.64,5456,G,0.83,-0.212
5.43,8393,A,1.0,0.25
9.52,3809,M,0.68,0.053
11.05,3584,M,0.78,0.178
6.07,3400,M,0.84,0.121
8.52,5424,G,0.64,-0.226
9.61,3685,M,0.97,0.331
8.48,6261,F,1.18,-0.056
7.5,3241,M,1.24,-0.09
6.72,3254,M,0.67,0.054
11.97,3197,M,0.74,0.059
8.19,3273,M,1.53,0.65
8.78,3293,M,0.74,0.149
8.65,3742,M,1.51,-0.121
6.38,3492,M,0.69,0.475
8.1,3436,M,1.21,-0.408
7.36,3247,M,1.46,-0.121
7.32,3475,M,0.27,-0.139
8.63,3196,M,1.54,-0.001
6.17,6380,F,1.92,0.087
5.59,7171,F,0.86,0.109
9.01,3616,M,1.19,0.104
6.94,3463,M,0.66,0.157
7.31,3622,M,1.2,-0.015
4.14,4383,K,3.42,0.322
9.93,4320,K,0.33,-0.403
9.05,3798,M,0.78,-0.638
9.42,3300,M,1.49,0.185
8.77,6385,F,1.88,-0.083
4.97,3554,M,0.5,0.429
8.46,3336,M,0.73,0.261
6.78,4646,K,0.75,0.147
6.07,4431,K,0.72,-0.122
9.0,6716,F,0.94,0.169
11.32,8749,A,0.49,-0.099
10.99,3457,M,0.88,0.015
9.24,7056,F,0.63,-0.082
7.94,5317,G,0.97,0.065
7.57,3736,M,0.7,-0.063
6.19,3706,M,0.92,0.25
7.46,3810,M,0.6,0.113
9.82,5548,G,1.61,-0.127
11.65,3362,M,0.85,-0.112
6.37,3863,M,1.01,-0.318
4.01,3441,M,0.93,-0.488
6.94,3358,M,1.0,0.233
9.81,3467,M,1.0,-0.089
12.14,3328,M,1.5,-0.304
10.62,3592,M,0.87,0.111
10.57,5333,G,0.7,-0.18
6.3,4435,K,1.02,-0.017
6.36,6815,F,0.74,-0.323
5.35,20624,B,0.96,0.162
6.67,5504,G,0.59,0.022
9.83,3530,M,1.69,0.125
11.25,4503,K,0.68,-0.107
8.69,3425,M,1.82,0.062
7.49,3500,M,0.97,-0.364
5.87,4610,K,1.53,0.569
7.77,3478,M,0.68,0.104
8.41,5615,G,0.37,0.427
5.07,3354,M,0.44,-0.067
9.84,3394,M,3.5,-0.262
7.15,8188,A,0.74,-0.123
9.72,3401,M,1.73,-0.011
7.98,3725,M,0.52,-0.029
8.59,6736,F,1.09,0.465
6.6,3312,M,1.19,-0.214
7.31,3577,M,4.13,-0.151
9.28,5393,G,0.85,0.178
7.74,3381,M,0.7,-0.397
5.79,6017,F,1.19,-0.01
8.22,3670,M,0.63,0.035
